date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2025-12-04,49942.94141,51028.42188,49910.05859,51028.42188,127300000,0.02334,-0.01051,58.66302,249.73621,-44.07111,0.79708,1.52531,100.00000,70.53127,14.63555,5.13152,-0.61881,6.92858,0.29798,0.16071,-0.89837,,,16.08000,-3.07414,3,mid|high|neg
2025-12-05,50530.33984,50634.85156,50215.41016,50491.87109,119300000,-0.01051,0.00178,55.07770,279.69907,-11.28660,0.65204,0.52306,78.67846,81.53850,14.66108,1.34058,-0.45950,6.64397,0.10803,-0.44928,0.37259,,,15.78000,-1.86567,4,mid|high|neg
2025-12-08,50643.08984,50678.05078,50224.64844,50581.94141,104400000,0.00178,0.00145,55.56862,307.17189,12.94897,0.67222,0.76205,78.37061,85.68302,14.72422,4.02268,0.10892,6.37401,0.19366,0.02257,-0.51786,,,15.41000,-2.34474,0,up|high|pos
2025-12-09,50677.35938,50793.69141,50417.10938,50655.10156,107100000,0.00145,-0.00103,55.98933,331.03178,29.44709,0.69980,1.04920,79.40257,78.81721,14.89372,4.10111,0.78848,6.01222,-0.34773,0.12762,0.38476,,,16.66000,8.11162,1,up|high|pos
2025-12-10,50878.66016,51107.76953,50329.26953,50602.80078,125100000,-0.00103,-0.00897,55.58414,341.78084,32.15692,0.69039,1.01696,73.30762,77.02693,15.35317,2.10603,1.15516,5.70663,-0.08764,0.32445,0.50827,,,16.93000,1.62065,2,up|high|pos
2025-12-11,50818.39062,50875.98047,49926.26953,50148.82031,109900000,-0.00897,0.01371,52.06211,310.09257,0.37492,0.57259,0.11577,49.31045,67.34022,15.20917,-0.03644,0.80908,5.47755,0.67496,0.63782,1.47796,,,15.77000,-6.85174,3,up|high|pos
2025-12-12,50480.23047,51127.69141,50457.42188,50836.55078,152200000,0.01371,-0.01315,56.55333,336.59344,21.50063,0.80498,1.49255,84.54783,69.05530,15.33800,1.15939,0.95050,5.23121,0.20794,-0.66821,-1.78327,,,14.85000,-5.83386,4,up|high|pos
2025-12-15,50352.08984,50432.10156,49965.67969,50168.10938,121900000,-0.01315,-0.01564,51.50271,300.19745,-11.91628,0.59306,0.16670,40.26733,58.04187,14.77293,1.75410,0.79398,5.00562,-1.06636,-0.14314,-0.29523,,,15.74000,5.99326,0,up|high|neg
2025-12-16,50051.23828,50051.23828,49355.87109,49383.28906,124600000,-0.01564,0.00261,46.27702,205.65427,-85.16757,0.35318,-1.27978,1.54745,42.12087,13.94393,0.16194,0.40868,4.67294,-0.15966,0.20634,0.39834,,,16.50000,4.82846,1,up|low|neg
2025-12-17,49413.19141,49571.50000,49077.80859,49512.28125,113200000,0.00261,-0.01032,47.22483,139.52832,-121.03482,0.37542,-0.91648,21.19500,21.00326,13.49362,-0.70671,0.07917,4.35799,-0.23839,-0.56002,-1.27702,,,16.48000,-0.12121,2,up|low|neg
2025-12-18,49058.30859,49169.78906,48643.78125,49001.50000,116200000,-0.01032,0.01032,43.92049,45.38409,-172.14324,0.17600,-1.77654,14.40144,12.38129,13.55078,-3.97214,-0.21535,4.00699,-1.15921,-0.15289,0.39489,,,17.62000,6.91748,3,mid|low|neg
2025-12-19,49387.71094,49766.96094,49257.14844,49507.21094,163300000,0.01032,0.01808,47.81383,11.44877,-164.86284,0.36537,-0.62144,34.76091,23.45245,12.81640,-1.95014,-0.60686,3.66337,0.79343,0.46324,1.52056,,,16.87000,-4.25653,4,mid|low|neg
2025-12-22,50084.55078,50590.87891,49982.19922,50402.39062,112900000,0.01808,0.00021,53.91321,56.14116,-96.13637,0.66762,1.17340,70.80004,39.98746,12.59208,-0.35497,-0.51486,3.42982,0.88181,0.05852,-0.17339,,,14.91000,-11.61826,0,mid|high|neg
2025-12-23,50374.48047,50544.55859,50264.42188,50412.87109,92700000,0.00021,-0.00136,53.98103,91.35282,-48.73977,0.65417,1.18721,71.22197,58.92764,12.38378,-0.47820,-0.10866,3.20573,0.64365,1.34331,0.32160,,,14.08000,-5.56673,1,mid|high|neg
2025-12-24,50475.48047,50636.94922,50323.92188,50344.10156,83200000,-0.00136,0.00127,53.42551,112.41335,-22.14338,0.60874,0.91621,68.45337,70.15846,12.29386,-0.51123,0.09338,3.10235,0.45504,-0.50673,0.10110,,,14.00000,-0.56818,2,up|high|neg
2025-12-25,50450.17969,50510.10938,50283.76172,50407.78906,58300000,0.00127,0.00680,53.89867,132.71320,-1.47483,0.63071,0.89259,88.50272,76.05936,12.15120,0.51640,0.50646,3.03471,0.32215,-0.44685,-0.02537,,,13.47000,-3.78571,3,up|high|neg
2025-12-26,50527.12891,50941.89062,50527.12891,50750.39062,81100000,0.00680,-0.00440,56.46114,174.43527,32.19779,0.76289,1.50303,91.66706,82.87438,12.52773,-0.16948,0.92925,2.89239,0.32215,-0.44685,-0.05003,,,13.47000,0.00000,4,up|high|pos
2025-12-29,50691.21875,50707.23047,50347.64844,50526.92188,98000000,-0.00440,-0.00371,54.33950,187.30907,36.05727,0.64802,0.90262,81.94304,87.37094,12.58934,0.71522,0.82572,2.85462,-0.03044,-0.05507,-0.25120,,,13.60000,0.96511,0,up|high|pos
